Season	Team	Round	HomeAway	Time	Player	X	Y	Goal	ShotOnGoal	PK	TimeBin	ShotType
07/08	Manchester United	1	Home	1	16	301	170	n	n	n	0-15	s
07/08	Manchester United	1	Home	3	10	301	97	n	y	n	0-15	o
07/08	Manchester United	1	Home	22	7	315	170	n	y	n	16-30	o
07/08	Manchester United	1	Home	24	11	364	80	n	n	n	16-30	s
07/08	Manchester United	1	Home	27	10	285	170	n	y	n	16-30	o
07/08	Manchester United	1	Home	28	10	352	133	n	n	n	16-30	s
07/08	Manchester United	1	Home	37	10	361	147	n	n	n	31-45	s
07/08	Manchester United	1	Home	51	7	335	80	n	y	n	46-60	o
07/08	Manchester United	1	Home	55	3	358	132	n	n	n	46-60	s
07/08	Manchester United	1	Home	60	11	258	169	n	y	n	46-60	o
07/08	Manchester United	1	Home	63	22	361	123	n	y	n	61-75	o
07/08	Manchester United	1	Home	66	11	324	180	n	n	n	61-75	s
07/08	Manchester United	1	Home	68	17	307	170	n	n	n	61-75	s
07/08	Manchester United	1	Home	75	16	352	186	n	y	n	61-75	o
07/08	Manchester United	1	Home	82	18	308	107	n	n	n	76-90	s
07/08	Manchester United	1	Home	86	16	312	98	n	n	n	76-90	s
07/08	Manchester United	1	Home	88	17	315	95	n	n	n	76-90	s
07/08	Manchester United	1	Home	89	7	268	179	n	y	n	76-90	o
07/08	Manchester United	1	Home	90	18	355	143	n	y	n	76-90	o
07/08	Manchester United	1	Home	90	7	309	161	n	y	n	76-90	o
07/08	Manchester United	1	Home	90	7	301	164	n	n	n	76-90	s
07/08	Manchester United	1	Home	90	16	301	176	n	y	n	76-90	o
07/08	Manchester United	1	Home	90	7	292	181	n	n	n	76-90	s
07/08	Manchester United	1	Home	90	7	268	171	n	y	n	76-90	o
07/08	Manchester United	2	Away	15	18	70	95	n	y	n	0-15	o
07/08	Manchester United	2	Away	15	18	81	107	y	n	n	0-15	s
07/08	Manchester United	2	Away	17	3	70	170	n	n	n	16-30	s
07/08	Manchester United	2	Away	35	7	79	177	n	y	n	31-45	o
07/08	Manchester United	2	Away	50	17	34	186	n	y	n	46-60	o
07/08	Manchester United	2	Away	51	11	113	171	n	n	n	46-60	s
07/08	Manchester United	2	Away	52	32	34	134	n	n	n	46-60	s
07/08	Manchester United	2	Away	55	7	82	96	n	y	n	46-60	o
